event_a_id,event_a_event_id,event_a_name,event_b_id,event_b_event_id,event_b_name,event_c_id,event_c_event_id,event_c_name,rule_ids_a_to_b,article_ids_a_to_b,rule_ids_b_to_c,article_ids_b_to_c,support_a_to_b,support_b_to_c
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_07_nam_den_15_nam,phat_tu_tu_07_nam_den_15_nam,Phạt tù từ 07 năm đến 15 năm || Phạt tù từ 07 năm đến 15 năm:,146,53,"1477,1541,1574,1662,1674,1687,372,414,646","141,144,168,248,250,251,255,256,257",1,9
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_07_nam_den_15_nam,phat_tu_tu_07_nam_den_15_nam,Phạt tù từ 07 năm đến 15 năm || Phạt tù từ 07 năm đến 15 năm:,145,53,"1477,1541,1574,1662,1674,1687,372,414,646","141,144,168,248,250,251,255,256,257",1,9
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_03_nam_den_10_nam,phat_tu_tu_03_nam_den_10_nam,Phạt tù từ 03 năm đến 10 năm || Phạt tù từ 03 năm đến 10 năm:,146,53,"2115,2184,2323,402,679,694","143,170,171,305,311,326",1,6
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_03_nam_den_10_nam,phat_tu_tu_03_nam_den_10_nam,Phạt tù từ 03 năm đến 10 năm || Phạt tù từ 03 năm đến 10 năm:,145,53,"2115,2184,2323,402,679,694","143,170,171,305,311,326",1,6
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_05_nam_den_12_nam,phat_tu_tu_05_nam_den_12_nam,Phạt tù từ 05 năm đến 12 năm || Phạt tù từ 05 năm đến 12 năm:,146,53,"2097,2161,2446,665,951","169,194,304,309,350",1,5
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_05_nam_den_12_nam,phat_tu_tu_05_nam_den_12_nam,Phạt tù từ 05 năm đến 12 năm || Phạt tù từ 05 năm đến 12 năm:,145,53,"2097,2161,2446,665,951","169,194,304,309,350",1,5
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_12_nam_den_20_nam,phat_tu_tu_12_nam_den_20_nam,Phạt tù từ 12 năm đến 20 năm || Phạt tù từ 12 năm đến 20 năm:,146,53,"1924,387,483","142,150,282",1,3
EVENT::da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,da_tai_pham_chua_xoa_an_tich_va_lai_co_y_pham_toi,Đã tái phạm chưa xóa án tích và lại cố ý phạm tội,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_01_nam_den_05_nam,phat_tu_tu_01_nam_den_05_nam,Phạt tù từ 01 năm đến 05 năm || Phạt tù từ 01 năm đến 05 năm:,146,53,"2008,2134,809","187,293,306",1,3
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_12_nam_den_20_nam,phat_tu_tu_12_nam_den_20_nam,Phạt tù từ 12 năm đến 20 năm || Phạt tù từ 12 năm đến 20 năm:,145,53,"1924,387,483","142,150,282",1,3
EVENT::tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,tai_pham_toi_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_do_co_y,Tái phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý,EVENT::tai_pham_nguy_hiem,tai_pham_nguy_hiem,Tái phạm nguy hiểm,EVENT::phat_tu_tu_01_nam_den_05_nam,phat_tu_tu_01_nam_den_05_nam,Phạt tù từ 01 năm đến 05 năm || Phạt tù từ 01 năm đến 05 năm:,145,53,"2008,2134,809","187,293,306",1,3
